Year, State, Abbreviation, Percentage of Tobacco Use
2017, Arizona, AZ, 3.75
2017, Connecticut, CT, 3.495238095238096
2017, Georgia, GA, 9.004761904761903
2017, Hawaii, HI, 3.497619047619047
2017, Louisiana, LA, 7.877083333333334
2017, Minnesota, MN, 6.352777777777778
2017, Mississippi, MS, 8.97
2017, Mississippi, MS, 6.131249999999999
2017, Missouri, MO, 0.0
2017, Missouri, MO, 3.3599999999999994
2017, Nebraska, NE, 6.760869565217392
2017, New Jersey, NJ, 4.162499999999999
2017, North Carolina, NC, 6.788888888888889
2017, North Dakota, ND, 5.739583333333333
2017, Ohio, OH, 4.172916666666666
2017, South Carolina, SC, 7.254166666666667
2017, South Dakota, SD, 3.261111111111111
2017, West Virginia, WV, 8.869047619047617
2016, Alabama, AL, 7.564583333333334
2016, Delaware, DE, 4.435714285714286
2016, Indiana, IN, 1.7956521739130438
2016, Mississippi, MS, 6.716666666666666
2016, Oklahoma, OK, 4.929166666666667
2016, South Dakota, SD, 3.0916666666666663
2016, Wisconsin, WI, 3.8666666666666667
2015, Arizona, AZ, 2.7208333333333328
2015, Connecticut, CT, 2.866666666666666
2015, Georgia, GA, 9.458333333333336
2015, Hawaii, HI, 4.410416666666667
2015, Illinois, IL, 5.508333333333334
2015, Louisiana, LA, 5.8125
2015, Mississippi, MS, 7.691666666666667
2015, Mississippi, MS, 6.366666666666667
2015, Missouri, MO, 3.161904761904762
2015, Nebraska, NE, 7.700000000000002
2015, New Jersey, NJ, 3.9958333333333336
2015, North Carolina, NC, 5.702083333333333
2015, North Dakota, ND, 6.733333333333335
2015, Pennsylvania, PA, 5.002083333333332
2015, South Carolina, SC, 10.741666666666665
2015, West Virginia, WV, 9.468749999999998
2014, Alabama, AL, 10.006250000000001
2014, Delaware, DE, 6.257142857142856
2014, Minnesota, MN, 5.279166666666666
2014, Mississippi, MS, 7.520833333333333
2014, Nebraska, NE, 7.700000000000002
2014, New Jersey, NJ, 3.9958333333333336
2014, Ohio, OH, 2.670833333333333
2014, Pennsylvania, PA, 5.002083333333332
2013, Arizona, AZ, 3.4749999999999996
2013, Connecticut, CT, 4.323404255319149
2013, Georgia, GA, 6.785416666666666
2013, Hawaii, HI, 4.9121951219512185
2013, Illinois, IL, 6.870833333333336
2013, Indiana, IN, 6.643750000000002
2013, Kansas, KS, 2.2777777777777777
2013, Louisiana, LA, 8.92708333333333
2013, Mississippi, MS, 7.597916666666666
2013, Missouri, MO, 3.441666666666667
2013, Nebraska, NE, 9.379166666666666
2013, New Jersey, NJ, 7.091666666666665
2013, North Carolina, NC, 6.908333333333334
2013, North Dakota, ND, 8.049999999999999
2013, Ohio, OH, 3.9285714285714284
2013, Oklahoma, OK, 5.4875
2013, South Carolina, SC, 0.0
2013, South Carolina, SC, 11.348717948717951
2013, West Virginia, WV, 11.191666666666665
2012, Alabama, AL, 11.220833333333331
2012, Delaware, DE, 7.295238095238093
2012, Mississippi, MS, 11.335714285714289
2012, Nebraska, NE, 11.855555555555556
2012, New Jersey, NJ, 9.350000000000001
2012, Ohio, OH, 4.6000000000000005
2012, Wisconsin, WI, 5.822916666666668
2011, Arizona, AZ, 4.091666666666667
2011, Connecticut, CT, 5.443749999999998
2011, Georgia, GA, 9.168749999999998
2011, Hawaii, HI, 5.307142857142856
2011, Louisiana, LA, 10.335416666666667
2011, Michigan, MI, 13.01904761904762
2011, Missouri, MO, 10.111904761904762
2011, New Hampshire, NH, 10.654166666666665
2011, North Carolina, NC, 9.755555555555556
2011, North Dakota, ND, 9.591666666666667
2011, Oklahoma, OK, 12.197619047619044
2011, South Carolina, SC, 10.881250000000001
2011, West Virginia, WV, 11.589583333333332
2010, Alabama, AL, 10.700000000000003
2010, Arkansas, AR, 13.259523809523811
2010, Delaware, DE, 8.68095238095238
2010, Illinois, IL, 9.795238095238096
2010, Indiana, IN, 8.78095238095238
2010, Kentucky, KY, 13.564583333333331
2010, Mississippi, MS, 10.077083333333336
2010, New Jersey, NJ, 10.647619047619047
2010, Ohio, OH, 4.720833333333334
2010, Pennsylvania, PA, 8.447619047619046
2010, Wisconsin, WI, 7.637500000000002
2009, Arizona, AZ, 3.870833333333333
2009, Connecticut, CT, 5.866666666666667
2009, Georgia, GA, 9.23125
2009, Hawaii, HI, 6.43095238095238
2009, Iowa, IA, 8.552380952380952
2009, Kansas, KS, 7.379166666666669
2009, Louisiana, LA, 11.566666666666668
2009, Mississippi, MS, 10.058333333333334
2009, Missouri, MO, 10.945238095238098
2009, New Hampshire, NH, 12.309523809523812
2009, North Carolina, NC, 8.543750000000001
2009, North Dakota, ND, 9.93125
2009, Oklahoma, OK, 12.204761904761902
2009, South Carolina, SC, 12.599999999999998
2009, South Dakota, SD, 4.579166666666667
2009, Virginia, VA, 4.566666666666667
2009, West Virginia, WV, 12.164583333333331
2008, Alabama, AL, 13.821428571428575
2008, Delaware, DE, 9.48095238095238
